id,name,city,latitude,longitude,locationType,dailyTraffic,equityIndex,gridCapacityKw,nearbyChargers,medianIncome,evAdoptionScore,utilityIncentive,siteReadiness,estimatedCapex,chargerPorts
wm-001,Downtown Mobility Hub,Detroit,42.3314,-83.0458,Transit hub,38600,72,640,3,48200,68,81,86,420000,8
wm-002,Eastside Grocery Plaza,Detroit,42.3808,-82.9892,Retail center,22400,91,420,1,39100,54,76,78,310000,6
wm-003,Riverfront Visitor Lot,Detroit,42.3265,-83.0243,Destination,29700,48,590,5,64200,74,62,82,365000,6
wm-004,Northland Corridor Park-and-Ride,Southfield,42.4765,-83.2219,Park and ride,31200,63,710,2,58100,71,69,74,455000,8
wm-005,Community College Campus,Dearborn,42.3223,-83.1763,Campus,18200,79,380,0,44700,59,88,70,295000,6
wm-006,Industrial Fleet Depot,Detroit,42.3612,-83.1151,Fleet depot,15600,68,820,1,51200,62,73,64,525000,10
wm-007,Airport Hotel Cluster,Romulus,42.2389,-83.3410,Hospitality,33600,41,760,4,61300,77,58,80,480000,8
wm-008,Westside Library Lot,Detroit,42.3679,-83.1388,Civic site,12800,94,310,0,36500,46,84,67,240000,4
wm-009,Medical District Garage,Detroit,42.3539,-83.0586,Healthcare,40200,66,690,6,52300,73,70,83,510000,10
wm-010,Suburban Retail Loop,Troy,42.5629,-83.1545,Retail center,44800,35,880,8,79200,86,47,89,560000,10
